,Unnamed: 0,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
23,13600,-117.25,34.16,37.0,1709.0,278.0,744.0,274.0,3.7188,INLAND
24,13989,-117.19,34.94,31.0,2034.0,444.0,1097.0,367.0,2.1522,INLAND
25,15168,-117.06,33.02,24.0,830.0,190.0,279.0,196.0,1.9176,<1H OCEAN
26,6747,-118.07,34.11,41.0,2869.0,563.0,1627.0,533.0,5.0736,<1H OCEAN
27,7398,-118.24,33.96,44.0,1338.0,366.0,1765.0,388.0,1.7778,<1H OCEAN
28,5562,-118.28,33.91,41.0,620.0,133.0,642.0,162.0,2.6546,<1H OCEAN
29,16121,-122.46,37.79,52.0,2059.0,416.0,999.0,402.0,3.7419,NEAR BAY
30,18104,-122.03,37.31,25.0,2131.0,410.0,1132.0,395.0,5.3508,<1H OCEAN
31,2651,-124.1,40.47,52.0,1196.0,236.0,965.0,265.0,3.5345,<1H OCEAN
32,12963,-121.32,38.71,14.0,4594.0,774.0,2474.0,782.0,4.5245,INLAND
33,12622,-121.52,38.5,19.0,4900.0,805.0,2519.0,855.0,4.8497,INLAND
34,3671,-118.41,34.21,35.0,2830.0,518.0,1577.0,524.0,5.35,<1H OCEAN
35,10461,-117.65,33.46,19.0,7034.0,1139.0,2824.0,1068.0,6.0873,<1H OCEAN
36,12479,-121.49,38.59,20.0,463.0,180.0,486.0,190.0,1.0313,INLAND
37,15126,-116.84,32.86,16.0,2502.0,532.0,1211.0,494.0,3.2516,<1H OCEAN
38,9124,-118.08,34.58,5.0,1113.0,186.0,631.0,168.0,4.1719,INLAND
39,7707,-118.13,33.95,37.0,1709.0,333.0,778.0,344.0,3.9036,<1H OCEAN
40,3683,-118.42,34.23,34.0,1531.0,278.0,1064.0,274.0,5.6687,<1H OCEAN
41,11274,-117.99,33.78,19.0,7399.0,1698.0,3554.0,1593.0,3.1049,<1H OCEAN
42,4058,-118.44,34.15,37.0,1335.0,286.0,539.0,279.0,3.2813,<1H OCEAN
43,16984,-122.3,37.56,35.0,1873.0,351.0,945.0,333.0,5.5184,NEAR OCEAN
44,15318,-117.36,33.2,26.0,2447.0,482.0,1405.0,486.0,3.2917,NEAR OCEAN
45,11077,-117.85,33.8,34.0,1593.0,283.0,872.0,255.0,3.825,<1H OCEAN
46,20630,-121.32,39.29,11.0,2640.0,505.0,1257.0,445.0,3.5673,INLAND
47,17899,-121.98,37.37,36.0,1651.0,344.0,1062.0,331.0,4.575,<1H OCEAN
48,7247,-118.11,34.0,33.0,2886.0,726.0,2650.0,728.0,2.625,<1H OCEAN
49,18047,-121.96,37.25,19.0,1858.0,359.0,790.0,347.0,4.5156,<1H OCEAN
50,663,-122.13,37.69,17.0,2380.0,769.0,1216.0,643.0,3.395,NEAR BAY
51,1968,-120.7,38.69,13.0,4492.0,821.0,2093.0,734.0,4.0709,INLAND
52,17625,-121.95,37.26,34.0,1482.0,255.0,584.0,246.0,5.5121,<1H OCEAN
53,2007,-119.79,36.75,33.0,3161.0,934.0,3530.0,846.0,1.123,INLAND
54,9460,-123.64,39.45,21.0,3359.0,677.0,1908.0,642.0,3.0433,<1H OCEAN
55,17510,-121.92,37.34,35.0,357.0,120.0,377.0,99.0,3.0139,<1H OCEAN
56,3031,-119.42,35.4,24.0,2585.0,480.0,1442.0,424.0,2.8452,INLAND
57,9564,-120.62,37.37,8.0,2608.0,428.0,1530.0,435.0,3.968,INLAND
58,16131,-122.48,37.79,52.0,4683.0,1055.0,2246.0,975.0,4.1148,NEAR BAY
59,533,-122.27,37.78,52.0,1222.0,264.0,630.0,265.0,3.7708,NEAR BAY
60,1537,-122.04,37.9,20.0,5467.0,1044.0,2310.0,963.0,5.6986,NEAR BAY
61,12779,-121.42,38.65,21.0,2274.0,495.0,1157.0,445.0,2.0980000000000003,INLAND
62,2818,-119.03,35.41,37.0,1761.0,443.0,911.0,365.0,2.0331,INLAND
63,13495,-117.35,34.17,28.0,1905.0,372.0,1480.0,341.0,2.9844,INLAND
64,4577,-118.28,34.07,14.0,1924.0,926.0,2226.0,792.0,2.2552,<1H OCEAN
65,2381,-119.47,36.69,19.0,3351.0,589.0,1578.0,542.0,3.2917,INLAND
66,2659,-123.84,40.28,28.0,2809.0,605.0,1093.0,438.0,2.0962,<1H OCEAN
67,19960,-119.25,36.23,24.0,2015.0,355.0,1031.0,351.0,3.4306,INLAND
68,5851,-118.32,34.18,44.0,1594.0,389.0,832.0,340.0,3.4,<1H OCEAN
69,7304,-118.19,33.99,42.0,1429.0,436.0,1537.0,389.0,3.0114,<1H OCEAN
70,10197,-117.94,33.86,35.0,2127.0,417.0,1247.0,378.0,4.75,<1H OCEAN
71,4789,-118.32,34.02,47.0,1648.0,346.0,1120.0,338.0,2.0042,<1H OCEAN
72,2057,-119.63,36.64,33.0,1036.0,181.0,620.0,174.0,3.4107,INLAND
73,10449,-117.67,33.46,24.0,3571.0,722.0,1409.0,543.0,4.6518,<1H OCEAN
74,9551,-120.88,37.37,24.0,1294.0,222.0,684.0,221.0,2.6908,INLAND
75,7138,-118.11,34.01,43.0,1539.0,386.0,1122.0,377.0,2.4605,<1H OCEAN
76,9922,-122.32,38.32,22.0,2483.0,528.0,1478.0,492.0,4.0878,NEAR BAY
77,7130,-118.11,34.02,17.0,9559.0,1911.0,5279.0,1844.0,5.1515,<1H OCEAN
78,2432,-119.53,36.65,43.0,1676.0,320.0,1056.0,276.0,2.5562,INLAND
79,3777,-118.4,34.17,24.0,4443.0,1283.0,2421.0,1180.0,2.2652,<1H OCEAN
80,2994,-119.04,35.32,20.0,37.0,11.0,34.0,8.0,1.2,INLAND
81,1286,-121.82,38.01,25.0,3018.0,606.0,1614.0,568.0,3.4722,INLAND
82,14561,-117.22,32.83,17.0,1124.0,187.0,553.0,205.0,5.7451,NEAR OCEAN
83,12100,-117.34,33.94,20.0,4589.0,594.0,1660.0,595.0,7.4141,INLAND
84,3070,-119.25,35.79,8.0,3271.0,797.0,2700.0,688.0,1.7418,INLAND
85,5645,-118.3,33.75,23.0,1957.0,517.0,1454.0,526.0,3.5056,<1H OCEAN
86,7968,-118.2,33.86,27.0,2732.0,867.0,1690.0,794.0,2.6465,<1H OCEAN
87,4278,-118.31,34.09,28.0,720.0,267.0,891.0,265.0,1.8977,<1H OCEAN
88,11130,-117.93,33.85,33.0,2489.0,546.0,1857.0,444.0,2.9474,<1H OCEAN
89,17791,-121.81,37.37,26.0,2987.0,539.0,1931.0,518.0,5.1099,<1H OCEAN
90,7539,-118.22,33.9,38.0,796.0,159.0,679.0,167.0,3.6607,<1H OCEAN
91,8851,-118.42,34.09,40.0,3552.0,392.0,1024.0,370.0,15.0001,<1H OCEAN
92,17137,-122.16,37.46,32.0,2663.0,661.0,1403.0,733.0,4.2667,NEAR BAY
93,17515,-121.93,37.33,44.0,1449.0,291.0,676.0,282.0,3.575,<1H OCEAN
94,20349,-119.08,34.17,32.0,166.0,22.0,63.0,29.0,7.3004,NEAR OCEAN
95,2011,-119.83,36.73,21.0,1702.0,358.0,1347.0,316.0,2.4137,INLAND
96,8887,-118.52,34.02,24.0,7418.0,1755.0,2713.0,1577.0,5.0867,<1H OCEAN
97,18265,-122.07,37.37,22.0,3770.0,727.0,1657.0,762.0,4.8021,NEAR BAY
98,15117,-116.95,32.83,14.0,12517.0,2506.0,6389.0,2333.0,3.3081,<1H OCEAN
99,8741,-118.32,33.82,25.0,2587.0,512.0,1219.0,509.0,4.4271,<1H OCEAN
100,15706,-122.42,37.79,6.0,670.0,301.0,655.0,284.0,3.4423,NEAR BAY
101,5505,-118.42,33.99,23.0,5548.0,1245.0,2847.0,1229.0,4.4228,<1H OCEAN
102,19422,-121.04,37.7,52.0,349.0,59.0,121.0,40.0,3.3036,INLAND
103,460,-122.26,37.87,52.0,1087.0,371.0,3337.0,350.0,1.4012,NEAR BAY
104,11723,-120.06,39.25,21.0,2459.0,525.0,584.0,233.0,3.01,INLAND
105,1879,-119.94,38.92,24.0,1258.0,216.0,235.0,96.0,4.6,INLAND
106,7912,-118.08,33.89,33.0,2131.0,435.0,2045.0,426.0,4.0,<1H OCEAN
107,19985,-119.31,36.2,23.0,1837.0,332.0,1064.0,335.0,3.1453,INLAND
108,18583,-121.78,36.92,19.0,1515.0,253.0,975.0,266.0,4.3906,<1H OCEAN
109,4598,-118.28,34.05,44.0,968.0,384.0,1805.0,375.0,1.4801,<1H OCEAN
110,13962,-116.88,34.25,11.0,1089.0,198.0,230.0,90.0,4.9643,INLAND
111,2370,-119.57,36.7,34.0,1759.0,354.0,899.0,337.0,2.6823,INLAND
112,13089,-121.35,38.55,22.0,2607.0,411.0,1216.0,407.0,5.0427,INLAND
113,4629,-118.3,34.07,18.0,3759.0,,3296.0,1462.0,2.2708,<1H OCEAN
114,4547,-118.2,34.02,42.0,498.0,120.0,548.0,119.0,3.7543,<1H OCEAN
115,20440,-118.77,34.24,6.0,16222.0,2309.0,6700.0,2080.0,6.4963,<1H OCEAN
116,6068,-117.86,34.01,16.0,4632.0,,3038.0,727.0,5.1762,<1H OCEAN
117,6959,-118.07,34.0,37.0,2976.0,636.0,2117.0,598.0,4.1058,<1H OCEAN
118,18168,-122.03,37.37,16.0,3402.0,1193.0,1479.0,1043.0,3.5861,<1H OCEAN
119,1297,-121.82,37.98,13.0,3995.0,605.0,1969.0,607.0,5.0164,INLAND
120,16535,-121.23,37.78,20.0,273.0,49.0,149.0,49.0,4.8229,INLAND
121,1844,-122.28,37.91,38.0,2501.0,348.0,805.0,329.0,6.5576,NEAR BAY
122,17835,-121.86,37.41,16.0,1489.0,262.0,945.0,263.0,7.3861,<1H OCEAN
123,15384,-117.1,33.36,19.0,3518.0,658.0,2091.0,610.0,3.2614,<1H OCEAN
124,18068,-122.02,37.29,18.0,2550.0,312.0,999.0,320.0,8.7939,<1H OCEAN
125,9050,-118.1,34.71,16.0,3914.0,819.0,1524.0,795.0,2.415,INLAND
126,17764,-121.86,37.35,35.0,2391.0,605.0,1886.0,595.0,2.5551,<1H OCEAN
127,15165,-117.03,32.95,19.0,4500.0,815.0,2456.0,782.0,4.5032,<1H OCEAN
128,16478,-121.24,38.22,28.0,2593.0,487.0,1365.0,457.0,3.3929,INLAND
129,16742,-122.45,37.7,46.0,2193.0,499.0,1814.0,489.0,4.0125,NEAR OCEAN
130,6950,-118.07,33.99,35.0,1625.0,302.0,1134.0,288.0,4.5595,<1H OCEAN
131,12949,-121.28,38.64,19.0,3574.0,669.0,1373.0,643.0,3.6298,INLAND
132,7747,-118.16,33.92,36.0,2062.0,351.0,1134.0,358.0,4.4881,<1H OCEAN
133,1147,-121.19,39.55,17.0,1483.0,284.0,481.0,211.0,1.4896,INLAND
134,17212,-119.71,34.43,47.0,1572.0,417.0,790.0,384.0,2.6429,<1H OCEAN
135,16850,-122.42,37.62,40.0,1545.0,264.0,756.0,282.0,4.4643,NEAR OCEAN
136,13496,-117.34,34.16,31.0,1606.0,354.0,1049.0,335.0,2.1935,INLAND
137,6414,-118.01,34.14,20.0,3350.0,831.0,1816.0,744.0,2.8352,INLAND
138,467,-122.28,37.87,52.0,1233.0,300.0,571.0,292.0,2.2788,NEAR BAY
139,1953,-120.78,38.74,28.0,4236.0,877.0,2008.0,881.0,2.1603,INLAND
140,2101,-119.76,36.74,52.0,2137.0,448.0,1194.0,444.0,1.3029,INLAND
141,9278,-122.6,38.11,19.0,1752.0,328.0,873.0,336.0,3.8068,<1H OCEAN
142,11899,-117.35,33.95,28.0,1650.0,210.0,557.0,211.0,7.6632,INLAND
143,3350,-120.77,40.65,11.0,2635.0,667.0,280.0,132.0,1.7214,INLAND
144,3839,-118.43,34.18,22.0,2052.0,568.0,1254.0,572.0,2.6364,<1H OCEAN
145,11710,-120.16,39.14,21.0,2484.0,460.0,309.0,144.0,3.9722,INLAND
146,11963,-117.41,34.01,34.0,1231.0,216.0,841.0,199.0,2.6442,INLAND
147,4834,-118.3,34.04,35.0,1090.0,345.0,1605.0,330.0,2.1518,<1H OCEAN
148,1638,-122.18,37.9,36.0,4760.0,610.0,1511.0,572.0,9.0064,NEAR BAY
149,5766,-118.3,34.17,30.0,48.0,14.0,74.0,16.0,5.0056,<1H OCEAN
150,13372,-117.51,34.14,21.0,2455.0,381.0,1094.0,327.0,4.6437,INLAND
151,9324,-122.51,37.96,39.0,3302.0,684.0,1574.0,653.0,3.6863,NEAR BAY
152,10979,-117.85,33.77,23.0,5928.0,1204.0,3570.0,1150.0,4.0398,<1H OCEAN
153,8437,-118.37,33.93,46.0,1130.0,201.0,503.0,196.0,4.4861,<1H OCEAN
154,20150,-119.06,34.36,48.0,1459.0,324.0,902.0,350.0,2.4185,<1H OCEAN
155,4327,-118.33,34.08,52.0,1777.0,454.0,671.0,439.0,3.5083,<1H OCEAN
156,18643,-121.99,36.98,19.0,5613.0,1321.0,3018.0,1268.0,3.1914,NEAR OCEAN
157,3734,-118.4,34.19,30.0,521.0,126.0,306.0,129.0,4.1125,<1H OCEAN
158,19929,-119.32,36.31,21.0,2309.0,424.0,1047.0,453.0,2.9886,INLAND
159,14851,-117.08,32.67,31.0,3008.0,764.0,2088.0,757.0,2.5662,NEAR OCEAN
160,774,-122.11,37.66,35.0,2843.0,652.0,1726.0,643.0,3.09,NEAR BAY
161,20560,-121.78,38.67,38.0,2948.0,478.0,1123.0,460.0,4.0556,INLAND
162,3954,-118.65,34.2,23.0,7480.0,1084.0,3037.0,1058.0,6.9223,<1H OCEAN
163,4713,-118.36,34.06,52.0,2130.0,455.0,921.0,395.0,2.9605,<1H OCEAN
164,16957,-122.31,37.52,35.0,1817.0,262.0,659.0,262.0,6.8336,NEAR OCEAN
165,12967,-121.32,38.7,16.0,3592.0,642.0,1740.0,629.0,3.0703,INLAND
166,12109,-117.29,33.97,4.0,18767.0,3032.0,8805.0,2723.0,4.6667,INLAND
167,16666,-120.71,35.27,9.0,2568.0,421.0,1149.0,398.0,5.4287,NEAR OCEAN
168,5714,-118.23,34.21,50.0,309.0,47.0,121.0,45.0,6.212999999999999,<1H OCEAN
169,16969,-122.31,37.54,42.0,1159.0,261.0,465.0,247.0,3.1842,NEAR OCEAN
170,18288,-122.11,37.38,36.0,3598.0,500.0,1296.0,533.0,7.8177,NEAR BAY
171,5798,-118.24,34.13,37.0,1644.0,395.0,959.0,383.0,3.3636,<1H OCEAN
172,1008,-121.76,37.68,35.0,1864.0,357.0,1189.0,349.0,4.2361,INLAND
173,6051,-117.75,34.04,22.0,2948.0,636.0,2600.0,602.0,3.125,INLAND
174,18518,-122.04,36.98,33.0,797.0,125.0,385.0,133.0,6.7974,NEAR OCEAN
175,1249,-122.09,39.13,28.0,4169.0,895.0,2587.0,810.0,2.331,INLAND
176,2071,-119.85,36.74,35.0,1191.0,190.0,537.0,182.0,3.5375,INLAND
177,10128,-117.9,33.93,12.0,4325.0,1191.0,1897.0,1080.0,3.3173,<1H OCEAN
178,10976,-117.84,33.75,16.0,4367.0,1161.0,2164.0,1005.0,4.0214,<1H OCEAN
179,20597,-121.58,39.16,33.0,1897.0,378.0,888.0,385.0,2.1111,INLAND
180,20534,-121.74,38.56,18.0,3960.0,1151.0,2248.0,1144.0,1.7257,INLAND
181,15813,-122.42,37.76,52.0,4407.0,1192.0,2280.0,1076.0,3.3937,NEAR BAY
182,20483,-118.72,34.28,18.0,2229.0,371.0,1283.0,379.0,5.5955,<1H OCEAN
183,11804,-121.3,38.89,45.0,1529.0,317.0,793.0,281.0,2.9866,INLAND
184,377,-122.16,37.75,35.0,667.0,140.0,406.0,133.0,3.8047,NEAR BAY
185,5870,-118.35,34.17,44.0,2572.0,613.0,1280.0,570.0,3.5583,<1H OCEAN
186,16516,-121.21,37.81,18.0,2404.0,498.0,1531.0,506.0,2.995,INLAND
187,7002,-118.04,33.97,34.0,1759.0,431.0,1282.0,391.0,3.0491,<1H OCEAN
188,17165,-122.22,37.36,34.0,1559.0,243.0,600.0,242.0,8.7382,NEAR OCEAN
189,19558,-121.02,37.6,33.0,1009.0,238.0,1027.0,246.0,2.5993,INLAND
190,3964,-118.58,34.2,21.0,2979.0,744.0,1824.0,692.0,3.5,<1H OCEAN
191,5813,-118.26,34.14,23.0,1336.0,396.0,1255.0,359.0,2.5388,<1H OCEAN
192,13489,-117.36,34.1,33.0,1904.0,343.0,1366.0,338.0,3.6227,INLAND
193,9722,-121.66,36.89,15.0,2608.0,458.0,1531.0,457.0,5.5148,<1H OCEAN
194,5421,-118.43,34.02,41.0,2403.0,516.0,1001.0,514.0,4.3906,<1H OCEAN
195,17139,-122.19,37.46,34.0,5419.0,1183.0,2002.0,1138.0,4.1985,NEAR BAY
196,16392,-121.23,38.04,32.0,1829.0,262.0,677.0,243.0,6.1805,INLAND
197,18971,-122.02,38.26,8.0,2894.0,602.0,1566.0,572.0,3.6335,INLAND
198,9912,-122.29,38.31,45.0,3075.0,754.0,1635.0,723.0,2.2721,NEAR BAY
199,15446,-117.24,33.19,19.0,1569.0,351.0,1035.0,352.0,2.9191,<1H OCEAN
200,2603,-124.08,41.36,29.0,1029.0,239.0,509.0,196.0,2.0156,NEAR OCEAN
201,11389,-117.98,33.64,20.0,1851.0,495.0,792.0,363.0,3.8187,NEAR OCEAN
202,9899,-122.28,38.29,19.0,531.0,112.0,139.0,80.0,1.9875,NEAR BAY
203,14929,-117.01,32.66,11.0,9992.0,1368.0,4495.0,1316.0,6.9664,NEAR OCEAN
204,346,-122.17,37.76,33.0,1280.0,307.0,999.0,286.0,2.5625,NEAR BAY
205,7499,-118.25,33.92,44.0,1737.0,363.0,1184.0,343.0,2.5363,<1H OCEAN
206,2580,-124.02,40.8,22.0,2588.0,435.0,1198.0,442.0,3.9792,<1H OCEAN
207,15420,-117.26,33.21,26.0,1906.0,408.0,1325.0,427.0,3.0197,<1H OCEAN
208,3800,-118.36,34.16,42.0,2304.0,442.0,862.0,429.0,4.3542,<1H OCEAN
209,16409,-121.19,37.93,27.0,1621.0,363.0,909.0,345.0,2.1513,INLAND
210,18754,-122.36,40.69,32.0,3611.0,772.0,2060.0,759.0,1.7427,INLAND
211,20356,-118.96,34.18,16.0,3137.0,462.0,1384.0,436.0,6.1306,<1H OCEAN
212,18516,-122.02,36.98,44.0,1153.0,238.0,657.0,219.0,3.2368,NEAR OCEAN
213,12618,-121.54,38.5,15.0,6093.0,1051.0,2415.0,997.0,4.2075,INLAND
214,4139,-118.18,34.12,29.0,2640.0,737.0,1795.0,655.0,2.369,<1H OCEAN
215,3103,-117.67,35.64,6.0,2115.0,342.0,927.0,337.0,6.1935,INLAND
216,17923,-121.97,37.35,30.0,1955.0,,999.0,386.0,4.6328,<1H OCEAN
217,3932,-118.59,34.2,18.0,847.0,185.0,733.0,178.0,5.2149,<1H OCEAN
218,11834,-120.22,39.2,22.0,8259.0,1409.0,845.0,353.0,3.3699,INLAND
219,15481,-117.14,33.15,17.0,1149.0,182.0,702.0,192.0,5.5696,<1H OCEAN
220,16808,-122.41,37.66,37.0,694.0,188.0,658.0,225.0,4.6103,NEAR OCEAN
221,9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,NEAR BAY
222,14200,-117.02,32.7,18.0,1643.0,283.0,1134.0,269.0,5.1769,NEAR OCEAN
223,18594,-122.09,37.11,32.0,2637.0,489.0,1031.0,410.0,3.6474,NEAR OCEAN
224,1221,-120.65,38.28,21.0,3095.0,681.0,1341.0,546.0,2.1382,INLAND
225,12849,-121.39,38.69,38.0,300.0,47.0,154.0,51.0,4.0909,INLAND
226,7869,-118.13,33.88,32.0,3088.0,1024.0,1981.0,956.0,2.2027,<1H OCEAN
227,19499,-121.02,37.67,32.0,3951.0,797.0,1916.0,740.0,2.6722,INLAND
228,4647,-118.31,34.06,52.0,2124.0,756.0,1920.0,756.0,2.1435,<1H OCEAN
229,19626,-121.03,37.33,27.0,1333.0,230.0,730.0,229.0,3.06,INLAND
230,18725,-122.32,40.58,2.0,1937.0,350.0,756.0,274.0,3.0,INLAND
231,18931,-122.11,38.09,11.0,673.0,145.0,318.0,137.0,2.3929,NEAR BAY
232,11896,-117.36,33.98,33.0,2070.0,469.0,1851.0,467.0,2.4667,INLAND
233,15636,-122.41,37.8,52.0,3697.0,837.0,1446.0,711.0,5.8660000000000005,NEAR BAY
234,19515,-121.02,37.62,14.0,5737.0,1286.0,4722.0,1210.0,1.6731,INLAND
235,8771,-118.34,33.8,34.0,1730.0,427.0,1008.0,393.0,3.9408,<1H OCEAN
236,16091,-122.48,37.72,46.0,2403.0,638.0,1281.0,603.0,3.2321,NEAR OCEAN
237,9547,-120.84,37.4,7.0,2773.0,530.0,1374.0,505.0,2.6214,INLAND
238,16939,-122.32,37.55,50.0,2501.0,433.0,1050.0,410.0,4.6406,NEAR OCEAN
239,3873,-118.54,34.22,35.0,1664.0,300.0,1000.0,309.0,4.6731,<1H OCEAN
240,3391,-118.35,34.21,42.0,1073.0,220.0,804.0,226.0,3.75,<1H OCEAN
241,15148,-116.93,32.87,17.0,3722.0,670.0,1561.0,604.0,3.6027,<1H OCEAN
242,9258,-120.06,36.96,44.0,1288.0,295.0,723.0,287.0,1.6534,INLAND
243,1816,-122.31,37.93,39.0,2505.0,371.0,872.0,345.0,5.3433,NEAR BAY
244,18816,-120.23,39.56,14.0,1781.0,346.0,734.0,287.0,2.46,INLAND
245,6492,-118.01,34.08,30.0,2281.0,522.0,1969.0,500.0,3.6531,INLAND
246,6153,-117.97,34.09,31.0,2779.0,639.0,2259.0,670.0,3.4032,INLAND
247,3797,-118.37,34.16,17.0,4150.0,1148.0,1808.0,1041.0,3.5051,<1H OCEAN
248,15861,-122.39,37.76,52.0,3390.0,691.0,1645.0,596.0,3.7051,NEAR BAY
249,15084,-116.96,32.8,25.0,3421.0,803.0,1681.0,742.0,3.369,<1H OCEAN
250,10268,-117.88,33.87,21.0,1519.0,388.0,1203.0,366.0,3.2083,<1H OCEAN
251,14769,-117.1,32.56,16.0,2687.0,501.0,1502.0,480.0,3.75,NEAR OCEAN
252,1499,-122.04,37.95,33.0,1653.0,334.0,814.0,328.0,3.1406,NEAR BAY
253,17577,-121.94,37.31,30.0,1680.0,312.0,858.0,310.0,4.0474,<1H OCEAN
254,19526,-120.97,37.65,16.0,3960.0,716.0,1776.0,724.0,3.9886,INLAND
255,1384,-122.11,37.99,16.0,3913.0,710.0,1782.0,676.0,5.1297,NEAR BAY
256,17351,-120.41,34.88,8.0,3119.0,620.0,1159.0,544.0,3.5288,<1H OCEAN
257,20586,-122.03,38.69,23.0,1796.0,380.0,939.0,330.0,2.7955,INLAND
258,4065,-118.47,34.15,7.0,6306.0,1473.0,2381.0,1299.0,4.642,<1H OCEAN
259,8124,-118.17,33.79,36.0,948.0,303.0,1042.0,301.0,1.55,NEAR OCEAN
260,1882,-119.99,38.94,24.0,1216.0,289.0,421.0,185.0,3.1625,INLAND
261,10688,-117.72,33.62,21.0,2322.0,518.0,662.0,457.0,3.1679,<1H OCEAN
262,7835,-118.15,33.91,35.0,574.0,116.0,610.0,147.0,3.3182,<1H OCEAN
263,12761,-121.4,38.63,30.0,3626.0,834.0,1577.0,806.0,2.517,INLAND
264,4389,-118.26,34.07,36.0,2306.0,813.0,2823.0,765.0,2.0214,<1H OCEAN
265,13733,-117.19,34.05,33.0,1688.0,313.0,808.0,298.0,3.2188,INLAND
266,11445,-117.98,33.66,26.0,3527.0,547.0,1615.0,542.0,6.1624,<1H OCEAN
267,16907,-122.35,37.57,52.0,2059.0,345.0,800.0,308.0,4.97,NEAR OCEAN
268,14802,-117.16,32.58,36.0,1940.0,399.0,1076.0,382.0,3.3906,NEAR OCEAN
269,8709,-118.35,33.85,34.0,1770.0,291.0,916.0,289.0,5.0,<1H OCEAN
270,20541,-121.7,38.54,13.0,6819.0,1158.0,2828.0,1115.0,4.6225,INLAND
271,18684,-121.82,36.95,16.0,2599.0,430.0,1417.0,445.0,4.6611,<1H OCEAN
272,17522,-121.9,37.33,34.0,197.0,44.0,152.0,47.0,4.05,<1H OCEAN
273,2557,-124.17,40.76,26.0,1776.0,361.0,992.0,380.0,2.8056,NEAR OCEAN
274,15011,-117.04,32.77,26.0,4263.0,1037.0,2199.0,1010.0,2.734,<1H OCEAN
275,18425,-121.83,37.26,7.0,3609.0,751.0,1739.0,682.0,4.5033,<1H OCEAN
276,11443,-117.98,33.72,28.0,3109.0,561.0,1891.0,562.0,5.2655,<1H OCEAN
277,7351,-118.16,33.97,13.0,221.0,63.0,286.0,64.0,1.9063,<1H OCEAN
278,9812,-121.93,36.6,33.0,3455.0,683.0,1704.0,663.0,4.0154,NEAR OCEAN
279,13977,-116.98,34.07,21.0,739.0,125.0,199.0,82.0,4.8958,INLAND
280,5685,-118.23,34.24,31.0,3857.0,607.0,1695.0,572.0,7.642,<1H OCEAN
281,12464,-121.44,38.58,43.0,1806.0,339.0,764.0,341.0,3.9271,INLAND
282,11810,-121.07,38.92,15.0,5301.0,884.0,2335.0,831.0,4.515,INLAND
283,14443,-117.25,32.8,26.0,2442.0,659.0,1134.0,624.0,3.3274,NEAR OCEAN
284,4992,-118.31,33.99,45.0,1489.0,339.0,791.0,316.0,2.2339,<1H OCEAN
285,16548,-121.22,37.82,13.0,4452.0,949.0,2740.0,937.0,3.1964,INLAND
286,5872,-118.35,34.17,42.0,1604.0,326.0,814.0,329.0,4.4408,<1H OCEAN
287,11798,-121.22,38.92,19.0,2531.0,461.0,1206.0,429.0,4.4958,INLAND
